magnitude,cdi,mmi,sig,nst,dmin,gap,depth,dt,tsunami,Latitude,Longitude
6.5,7,6,678,0,1.293,19,10,2020-5,0,34.1818,25.7101
6.5,8,8,1410,0,0.885,31,12.06,2020-3,0,44.4646,-115.118
7.5,6,5,879,0,4.109,12,57.8,2020-3,1,48.9638,157.695
7,5,6,770,0,4.501,25,143,2020-2,1,45.6161,148.959
7.7,9,6,1812,0,1.657,26,14.86,2020-1,1,19.4193,-78.756
6.7,8,9,1247,0,0.87,49,10,2020-1,0,38.4312,39.0609
6.8,9,7,825,0,0.546,39,18,2019-12,1,6.6969,125.174
7.1,6,6,799,0,1.271,11,33,2019-11,1,1.6213,126.416
6.5,0,2,650,0,4.765,25,577,2019-11,0,-21.9449,-179.511
6.6,4,4,673,0,5.086,48,10,2019-11,1,-18.5747,-175.272
6.5,9,7,733,0,0.428,19,10,2019-10,1,6.9098,125.178
6.6,9,7,780,0,0.646,24,15,2019-10,1,6.7567,125.008
6.7,7,6,844,0,1.269,98,11,2019-9,1,-35.4758,-73.163
6.5,7,7,656,0,3.909,15,12.26,2019-9,1,-3.4528,128.37
6.6,2,3,671,0,4.121,19,591,2019-9,1,-20.3641,-178.57
6.6,0,4,670,0,12.896,19,16,2019-8,1,-60.2152,-26.5801
6.9,4,6,875,0,2.839,23,49,2019-8,0,-7.2822,104.791
6.8,6,6,947,0,0.817,35,25,2019-8,1,-34.2364,-72.3102
6.6,0,4,670,0,6.024,30,181,2019-7,1,-16.1985,167.998
7.2,7,7,809,0,1.504,38,18.98,2019-7,1,-0.5858,128.034
6.6,5,5,791,0,2.978,32,10,2019-7,0,-18.2242,120.358
6.9,7,5,747,0,1.205,21,35,2019-7,0,0.5126,126.189
7.1,9,9,1646,77,0.04616,43,8,2019-7,0,35.7695,-117.599
7.3,4,6,952,0,2.629,16,212,2019-6,1,-6.4078,129.169
7.3,8,6,830,0,1.402,11,46,2019-6,1,-30.6441,-178.1
6.6,7,6,886,0,1.193,22,57.92,2019-5,1,13.1994,-89.3056
