magnitude,cdi,mmi,sig,nst,dmin,gap,depth,dt,tsunami,Latitude,Longitude
6.7,0,8,691,333,0,0,11,2002-1,0,-3.212,142.427
6.6,0,6,670,386,0,0,10,2002-1,0,-17.664,168.004
7.2,0,6,798,427,0,0,21,2002-1,0,-17.6,167.856
6.8,0,7,711,385,0,0,16,2001-12,0,-9.613,159.53
6.8,0,5,711,499,0,0,14,2001-12,0,23.954,122.734
6.5,0,5,650,605,0,0,123.8,2001-12,0,39.402,141.089
7.8,0,9,936,368,0,0,10,2001-11,0,35.946,90.541
7,0,7,754,254,0,0,33,2001-10,0,-5.912,150.196
7.5,0,6,865,234,0,0,33,2001-10,0,-4.102,123.907
7,0,6,754,482,0,0,37,2001-10,0,12.686,144.98
6.5,0,6,650,174,0,0,33,2001-9,0,-0.578,133.13
6.6,6,6,754,0,0,0,131.8,2001-7,0,58.775,-154.701
6.5,0,8,650,483,0,0,10,2001-7,0,39.059,24.244
7.6,0,7,889,398,0,0,33,2001-7,0,-17.543,-72.077
6.6,0,7,670,324,0,0,62,2001-7,0,-16.086,-73.987
6.7,0,6,691,422,0,0,24,2001-6,0,-17.745,-71.649
8.4,0,8,1086,518,0,0,33,2001-6,0,-16.265,-73.641
6.7,0,6,691,282,0,0,17,2001-4,0,-7.41,155.865
6.8,0,7,711,596,0,0,50,2001-3,0,34.083,132.526
6.5,0,6,650,206,0,0,33,2001-3,0,-4.029,128.02
6.8,7,7,1441,67,0,31,51.798,2001-2,0,47.149,-122.727
7.1,0,7,776,426,0,0,35,2001-2,0,1.271,126.249
7.4,0,6,842,221,0,0,36,2001-2,0,-4.68,102.562
6.6,0,8,670,273,0,0,10,2001-2,0,13.671,-88.938
7.7,0,9,912,472,0,0,16,2001-1,0,23.419,70.232
6.9,0,6,732,117,0,0,28,2001-1,0,-4.022,101.776
7.7,0,8,912,427,0,0,60,2001-1,0,13.049,-88.66
6.9,5,7,745,0,0,0,36.4,2001-1,0,56.7744,-153.281
7.1,0,7,776,372,0,0,103,2001-1,0,-14.928,167.17
6.8,0,5,711,64,0,0,33,2001-1,0,6.631,126.899
7.5,0,7,865,324,0,0,33,2001-1,0,6.898,126.579
