dt,AverageTemperature,AverageTemperatureUncertainty,City,LatitudeAndLongitude
2004-12-01T00:00:00Z,27.909000000000002,0.422,Abidjan,"5.63,-3.23"
2005-01-01T00:00:00Z,26.715,0.426,Abidjan,"5.63,-3.23"
2005-02-01T00:00:00Z,29.405,0.36,Abidjan,"5.63,-3.23"
2005-03-01T00:00:00Z,29.246,0.268,Abidjan,"5.63,-3.23"
2005-04-01T00:00:00Z,28.508000000000003,0.17,Abidjan,"5.63,-3.23"
2005-05-01T00:00:00Z,27.416,0.287,Abidjan,"5.63,-3.23"
2005-06-01T00:00:00Z,25.772,0.295,Abidjan,"5.63,-3.23"
2005-07-01T00:00:00Z,24.997,0.145,Abidjan,"5.63,-3.23"
2005-08-01T00:00:00Z,24.443,0.219,Abidjan,"5.63,-3.23"
2005-09-01T00:00:00Z,25.804,0.417,Abidjan,"5.63,-3.23"
2005-10-01T00:00:00Z,26.47,0.422,Abidjan,"5.63,-3.23"
2005-11-01T00:00:00Z,27.569000000000003,0.391,Abidjan,"5.63,-3.23"
2005-12-01T00:00:00Z,27.374000000000002,0.31,Abidjan,"5.63,-3.23"
2006-01-01T00:00:00Z,27.596,0.505,Abidjan,"5.63,-3.23"
2006-02-01T00:00:00Z,28.351999999999997,0.424,Abidjan,"5.63,-3.23"
2006-03-01T00:00:00Z,28.431,0.324,Abidjan,"5.63,-3.23"
2006-04-01T00:00:00Z,28.708,0.453,Abidjan,"5.63,-3.23"
2006-05-01T00:00:00Z,27.009,0.326,Abidjan,"5.63,-3.23"
2006-06-01T00:00:00Z,26.588,0.534,Abidjan,"5.63,-3.23"
2006-07-01T00:00:00Z,25.483,0.235,Abidjan,"5.63,-3.23"
2006-08-01T00:00:00Z,25.114,0.334,Abidjan,"5.63,-3.23"
2006-09-01T00:00:00Z,25.408,0.257,Abidjan,"5.63,-3.23"
2006-10-01T00:00:00Z,26.396,0.545,Abidjan,"5.63,-3.23"
2006-11-01T00:00:00Z,27.375,0.713,Abidjan,"5.63,-3.23"
2006-12-01T00:00:00Z,27.397,0.387,Abidjan,"5.63,-3.23"
2007-01-01T00:00:00Z,27.12,0.512,Abidjan,"5.63,-3.23"
2007-02-01T00:00:00Z,28.986,0.5870000000000001,Abidjan,"5.63,-3.23"
2007-03-01T00:00:00Z,29.106,0.44,Abidjan,"5.63,-3.23"
2007-04-01T00:00:00Z,28.334,0.203,Abidjan,"5.63,-3.23"
2007-05-01T00:00:00Z,27.702,0.153,Abidjan,"5.63,-3.23"
2007-06-01T00:00:00Z,26.134,0.279,Abidjan,"5.63,-3.23"
2007-07-01T00:00:00Z,25.416999999999998,0.154,Abidjan,"5.63,-3.23"
2007-08-01T00:00:00Z,25.004,0.194,Abidjan,"5.63,-3.23"
2007-09-01T00:00:00Z,25.605999999999998,0.34700000000000003,Abidjan,"5.63,-3.23"
2007-10-01T00:00:00Z,26.074,0.311,Abidjan,"5.63,-3.23"
2007-11-01T00:00:00Z,27.232,0.408,Abidjan,"5.63,-3.23"
2007-12-01T00:00:00Z,27.366999999999997,0.502,Abidjan,"5.63,-3.23"
2008-01-01T00:00:00Z,26.061,0.762,Abidjan,"5.63,-3.23"
2008-02-01T00:00:00Z,28.773000000000003,0.575,Abidjan,"5.63,-3.23"
2008-03-01T00:00:00Z,28.819000000000003,0.6809999999999999,Abidjan,"5.63,-3.23"
2008-04-01T00:00:00Z,28.156,0.14400000000000002,Abidjan,"5.63,-3.23"
2008-05-01T00:00:00Z,27.366,0.35,Abidjan,"5.63,-3.23"
2008-06-01T00:00:00Z,26.276,0.344,Abidjan,"5.63,-3.23"
2008-07-01T00:00:00Z,25.651999999999997,0.136,Abidjan,"5.63,-3.23"
2008-08-01T00:00:00Z,25.219,0.348,Abidjan,"5.63,-3.23"
2008-09-01T00:00:00Z,25.557,0.309,Abidjan,"5.63,-3.23"
2008-10-01T00:00:00Z,26.680999999999997,0.6759999999999999,Abidjan,"5.63,-3.23"
2008-11-01T00:00:00Z,27.302,0.265,Abidjan,"5.63,-3.23"
2008-12-01T00:00:00Z,27.471999999999998,0.369,Abidjan,"5.63,-3.23"
2009-01-01T00:00:00Z,26.912000000000006,0.353,Abidjan,"5.63,-3.23"
2009-02-01T00:00:00Z,28.224,0.5329999999999999,Abidjan,"5.63,-3.23"
2009-03-01T00:00:00Z,28.805,0.7190000000000001,Abidjan,"5.63,-3.23"
2009-04-01T00:00:00Z,28.000999999999998,0.349,Abidjan,"5.63,-3.23"
2009-05-01T00:00:00Z,27.766,0.183,Abidjan,"5.63,-3.23"
2009-06-01T00:00:00Z,26.655,0.408,Abidjan,"5.63,-3.23"
2009-07-01T00:00:00Z,25.436999999999998,0.279,Abidjan,"5.63,-3.23"
2009-08-01T00:00:00Z,24.945,0.227,Abidjan,"5.63,-3.23"
2009-09-01T00:00:00Z,25.568,0.215,Abidjan,"5.63,-3.23"
2009-10-01T00:00:00Z,26.354,0.568,Abidjan,"5.63,-3.23"
2009-11-01T00:00:00Z,27.497,0.413,Abidjan,"5.63,-3.23"
2009-12-01T00:00:00Z,27.62,0.412,Abidjan,"5.63,-3.23"
2010-01-01T00:00:00Z,28.270000000000003,0.161,Abidjan,"5.63,-3.23"
2010-02-01T00:00:00Z,29.261999999999997,0.445,Abidjan,"5.63,-3.23"
2010-03-01T00:00:00Z,29.596,0.555,Abidjan,"5.63,-3.23"
2010-04-01T00:00:00Z,29.068,0.28600000000000003,Abidjan,"5.63,-3.23"
2010-05-01T00:00:00Z,28.258000000000003,0.32299999999999995,Abidjan,"5.63,-3.23"
2010-06-01T00:00:00Z,26.683000000000003,0.378,Abidjan,"5.63,-3.23"
2010-07-01T00:00:00Z,25.589,0.302,Abidjan,"5.63,-3.23"
2010-08-01T00:00:00Z,25.4,0.252,Abidjan,"5.63,-3.23"
2010-09-01T00:00:00Z,25.71,0.338,Abidjan,"5.63,-3.23"
2010-10-01T00:00:00Z,26.397,0.484,Abidjan,"5.63,-3.23"
2010-11-01T00:00:00Z,27.446,0.25,Abidjan,"5.63,-3.23"
2010-12-01T00:00:00Z,27.666,0.253,Abidjan,"5.63,-3.23"
2011-01-01T00:00:00Z,27.360000000000007,0.304,Abidjan,"5.63,-3.23"
2011-02-01T00:00:00Z,28.295,0.124,Abidjan,"5.63,-3.23"
2011-03-01T00:00:00Z,28.922,0.306,Abidjan,"5.63,-3.23"
2011-04-01T00:00:00Z,28.754,0.4,Abidjan,"5.63,-3.23"
2011-05-01T00:00:00Z,27.809,0.376,Abidjan,"5.63,-3.23"
2011-06-01T00:00:00Z,26.427,0.34700000000000003,Abidjan,"5.63,-3.23"
2011-07-01T00:00:00Z,25.302,0.255,Abidjan,"5.63,-3.23"
2011-08-01T00:00:00Z,24.824,0.305,Abidjan,"5.63,-3.23"
2011-09-01T00:00:00Z,25.405,0.198,Abidjan,"5.63,-3.23"
2011-10-01T00:00:00Z,26.388,0.237,Abidjan,"5.63,-3.23"
2011-11-01T00:00:00Z,27.531,0.285,Abidjan,"5.63,-3.23"
2011-12-01T00:00:00Z,27.194000000000003,0.345,Abidjan,"5.63,-3.23"
2012-01-01T00:00:00Z,27.316999999999997,0.44,Abidjan,"5.63,-3.23"
2012-02-01T00:00:00Z,27.697,0.329,Abidjan,"5.63,-3.23"
2012-03-01T00:00:00Z,28.887,0.213,Abidjan,"5.63,-3.23"
2012-04-01T00:00:00Z,28.025,0.395,Abidjan,"5.63,-3.23"
2012-05-01T00:00:00Z,27.056,0.34700000000000003,Abidjan,"5.63,-3.23"
2012-06-01T00:00:00Z,26.101,0.388,Abidjan,"5.63,-3.23"
2012-07-01T00:00:00Z,24.989,0.461,Abidjan,"5.63,-3.23"
2012-08-01T00:00:00Z,24.656999999999996,0.321,Abidjan,"5.63,-3.23"
2012-09-01T00:00:00Z,25.793000000000003,0.401,Abidjan,"5.63,-3.23"
2012-10-01T00:00:00Z,26.511,1.526,Abidjan,"5.63,-3.23"
2012-11-01T00:00:00Z,27.386,0.394,Abidjan,"5.63,-3.23"
2012-12-01T00:00:00Z,26.776999999999997,0.528,Abidjan,"5.63,-3.23"
2013-01-01T00:00:00Z,27.750999999999998,0.856,Abidjan,"5.63,-3.23"
2013-02-01T00:00:00Z,29.021,0.467,Abidjan,"5.63,-3.23"
2013-03-01T00:00:00Z,29.129,0.306,Abidjan,"5.63,-3.23"
2013-04-01T00:00:00Z,28.625999999999998,0.219,Abidjan,"5.63,-3.23"
2013-05-01T00:00:00Z,27.652,0.16,Abidjan,"5.63,-3.23"
2013-06-01T00:00:00Z,26.156999999999996,0.245,Abidjan,"5.63,-3.23"
2013-07-01T00:00:00Z,24.951,0.221,Abidjan,"5.63,-3.23"
2013-08-01T00:00:00Z,24.541,0.3720000000000001,Abidjan,"5.63,-3.23"
2013-09-01T00:00:00Z,,,Abidjan,"5.63,-3.23"
1993-11-01T00:00:00Z,17.079,0.5489999999999999,Addis Abeba,"8.84,38.11"
1993-12-01T00:00:00Z,16.229,2.265,Addis Abeba,"8.84,38.11"
1994-01-01T00:00:00Z,17.582,0.742,Addis Abeba,"8.84,38.11"
1994-02-01T00:00:00Z,18.771,1.198,Addis Abeba,"8.84,38.11"
1994-03-01T00:00:00Z,19.727,1.0590000000000002,Addis Abeba,"8.84,38.11"
1994-04-01T00:00:00Z,19.819000000000003,0.378,Addis Abeba,"8.84,38.11"
1994-05-01T00:00:00Z,19.033,0.5489999999999999,Addis Abeba,"8.84,38.11"
1994-06-01T00:00:00Z,17.986,1.232,Addis Abeba,"8.84,38.11"
1994-07-01T00:00:00Z,16.027,1.002,Addis Abeba,"8.84,38.11"
1994-08-01T00:00:00Z,16.567999999999998,0.867,Addis Abeba,"8.84,38.11"
1994-09-01T00:00:00Z,16.857000000000006,0.277,Addis Abeba,"8.84,38.11"
1994-10-01T00:00:00Z,16.68,0.971,Addis Abeba,"8.84,38.11"
1994-11-01T00:00:00Z,16.797,1.14,Addis Abeba,"8.84,38.11"
1994-12-01T00:00:00Z,16.529,0.688,Addis Abeba,"8.84,38.11"
1995-01-01T00:00:00Z,16.869000000000003,0.882,Addis Abeba,"8.84,38.11"
1995-02-01T00:00:00Z,18.96,0.638,Addis Abeba,"8.84,38.11"
1995-03-01T00:00:00Z,19.32,1.013,Addis Abeba,"8.84,38.11"
1995-04-01T00:00:00Z,19.393,0.534,Addis Abeba,"8.84,38.11"
1995-05-01T00:00:00Z,19.407,0.765,Addis Abeba,"8.84,38.11"
1995-06-01T00:00:00Z,18.17,0.68,Addis Abeba,"8.84,38.11"
1995-07-01T00:00:00Z,16.392,0.574,Addis Abeba,"8.84,38.11"
1995-08-01T00:00:00Z,17.19,0.738,Addis Abeba,"8.84,38.11"
1995-09-01T00:00:00Z,17.183,1.029,Addis Abeba,"8.84,38.11"
1995-10-01T00:00:00Z,17.549,0.526,Addis Abeba,"8.84,38.11"
1995-11-01T00:00:00Z,17.507,0.48,Addis Abeba,"8.84,38.11"
1995-12-01T00:00:00Z,18.033,0.63,Addis Abeba,"8.84,38.11"
1996-01-01T00:00:00Z,18.430000000000003,1.384,Addis Abeba,"8.84,38.11"
1996-02-01T00:00:00Z,19.621,0.6829999999999999,Addis Abeba,"8.84,38.11"
1996-03-01T00:00:00Z,19.645,0.6559999999999999,Addis Abeba,"8.84,38.11"
1996-04-01T00:00:00Z,19.456,0.4270000000000001,Addis Abeba,"8.84,38.11"
1996-05-01T00:00:00Z,18.856,1.204,Addis Abeba,"8.84,38.11"
1996-06-01T00:00:00Z,17.236,0.907,Addis Abeba,"8.84,38.11"
1996-07-01T00:00:00Z,16.541,0.604,Addis Abeba,"8.84,38.11"
1996-08-01T00:00:00Z,16.662,0.767,Addis Abeba,"8.84,38.11"
1996-09-01T00:00:00Z,17.218,0.542,Addis Abeba,"8.84,38.11"
1996-10-01T00:00:00Z,16.994999999999994,0.502,Addis Abeba,"8.84,38.11"
1996-11-01T00:00:00Z,17.102,0.207,Addis Abeba,"8.84,38.11"
1996-12-01T00:00:00Z,17.047,0.76,Addis Abeba,"8.84,38.11"
1997-01-01T00:00:00Z,17.804000000000006,0.469,Addis Abeba,"8.84,38.11"
1997-02-01T00:00:00Z,18.813,1.847,Addis Abeba,"8.84,38.11"
1997-03-01T00:00:00Z,20.005000000000006,0.947,Addis Abeba,"8.84,38.11"
1997-04-01T00:00:00Z,19.101,0.723,Addis Abeba,"8.84,38.11"
1997-05-01T00:00:00Z,19.16,0.966,Addis Abeba,"8.84,38.11"
1997-06-01T00:00:00Z,17.862000000000002,0.6920000000000001,Addis Abeba,"8.84,38.11"
1997-07-01T00:00:00Z,16.831,0.342,Addis Abeba,"8.84,38.11"
1997-08-01T00:00:00Z,17.227,0.447,Addis Abeba,"8.84,38.11"
1997-09-01T00:00:00Z,17.912000000000006,0.634,Addis Abeba,"8.84,38.11"
1997-10-01T00:00:00Z,17.218999999999998,0.34,Addis Abeba,"8.84,38.11"
1997-11-01T00:00:00Z,16.941,0.846,Addis Abeba,"8.84,38.11"
1997-12-01T00:00:00Z,17.02,1.128,Addis Abeba,"8.84,38.11"
